model_name,face_count,texture_count,format,original_size_mb,compressed_size_mb,texture_size_mb,peak_memory_mb
BistroExterior_2832k_405tex,2832000,405,fbx,1037,587,925,1850
BistroExterior_2832k_405tex,2832000,405,obj,1220,551,925,2100
BistroExterior_2832k_405tex,2832000,405,gltf,942,865,815,1600
BistroExterior_2832k_405tex,2832000,405,glb,941,865,815,1550
BistroInterior_1293k_201tex,1293000,201,fbx,533,268,488,950
BistroInterior_1293k_201tex,1293000,201,obj,489,384,357,850
BistroInterior_1293k_201tex,1293000,201,gltf,402,374,357,720
BistroInterior_1293k_201tex,1293000,201,glb,402,374,357,700
Dragon_38k_skeleton_0tex,38000,0,fbx,2.15,1.78,0,45
Dragon_38k_skeleton_0tex,38000,0,obj,3.13,0.95,0,35
Dragon_38k_skeleton_0tex,38000,0,gltf,1.63,0.98,0,30
Dragon_38k_skeleton_0tex,38000,0,glb,1.61,0.98,0,28
AbandonedWarehouse_993k_36tex,993000,36,fbx,92.7,87.6,69.6,180
AbandonedWarehouse_993k_36tex,993000,36,obj,157,86,69.6,220
AbandonedWarehouse_993k_36tex,993000,36,gltf,100,75.7,67.1,170
AbandonedWarehouse_993k_36tex,993000,36,glb,100,75.7,67.1,165
BurjKhalifaDubai_662k_1tex,662000,1,fbx,11.6,9.15,0.201,120
BurjKhalifaDubai_662k_1tex,662000,1,obj,45.4,6.87,0.201,150
BurjKhalifaDubai_662k_1tex,662000,1,gltf,27.3,4.92,0.201,110
BurjKhalifaDubai_662k_1tex,662000,1,glb,27.1,4.73,0.201,105
